"","Well_Label","Phenotype","Firing_rate_Hz","EB_Dur","EB_Dur_Std","Spikes_per_EB","Spikes_per_EB_Std","EB_ISI","EB_ISI_Std","IEBI","IEBI_Std","IEBI_CV","IEBI_CV_Std","EB_rate_Hz","EB_rate_Std","EB_prop","EB_prop_Std","NB_rate_Hz","NB_prop","NB_dur","NB_dur_Std","Firing_Rate_in_NB_Hz","Firing_Rate_in_NB_Std","INBI","INBI_Std","batch","cell_line_batch","machine","PT_all_path","DIV_range","Syndrome","Gene","Compound_short","Compound","Own_control","Color_general","Cell_line_general","Unique_ID","PT_all_path_Well_Label"
"26","A2","KdVS_CR_PH_10um",0.658,0.0337272727272727,0.0750547678819819,1.16781818181818,2.59845961362426,0.0342235578809669,0.000126104563174324,45.52,48.7705689119986,0.881,0.107480230740355,0.0181818181818182,0.0520760904054749,3.25863636363636,7.27961150436927,0.00666666666666667,0.0255576208178439,1.20400000000001,0.169705627484778,2.07824276814588,0.0259778403382769,146.52,NA,"100-2031","KdVS_CR_PH_10um100-2031","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031","DIV14","KdVS","KANSL1","PH_10um","phloretin","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_A2_26","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_A2"
"27","A3","KdVS_CR_F_10um",0.003,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100-2031","KdVS_CR_F_10um100-2031","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031","DIV14","KdVS","KANSL1","F_10um","fasudil","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_A3_27","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_A3"
"28","A4","KdVS_CR_NT",0.3044,0.0078,0.0302092701004179,0.333333333333333,1.29099444873581,0.0291400000000017,NA,7.074,NA,NA,NA,0.000444444444444444,0.00172132593164774,0.1344,0.520528961730277,0.00333333333333333,0.0117044623262619,0.591999999999985,NA,1.80180180180185,NA,NA,NA,"100-2031","KdVS_CR_NT100-2031","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031","DIV14","KdVS","KANSL1","NT","NT","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_A4_28","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_A4"
"29","A5","KdVS_CR_P_10um",1.00778571428571,0.0618571428571429,0.106209413709141,2.11607142857143,3.60932261840588,0.0339893661101463,0.00322938798209789,44.9015,40.393473280552,0.78775,0.310574065240483,0.0230952380952381,0.0479220215195493,4.86957142857143,9.56749535357396,0.143333333333333,0.660782442748092,1.27032558139535,0.60741088787654,3.51129483576604,0.576792334395582,12.224,10.6613394847813,"100-2031","KdVS_CR_P_10um100-2031","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031","DIV14","KdVS","KANSL1","P_10um","prednisone","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_A5_29","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_A5"
"30","A6","Mother_CNT",1.2724,0.0886,0.11646814401985,3.0686,4.14089587960314,0.0342527573848121,0.00363086944797443,72.6106666666667,93.183984865784,0.758,0.166498048036606,0.0382222222222222,0.0644496440157478,10.365,17.2035666028049,0.126666666666667,0.716180371352785,1.11226315789474,0.256483146721029,6.3223655703704,0.82572986142177,14.494,5.2313221825632,"100-2031","Mother_CNT100-2031","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031","DIV14","control","control","NT","NT","Mother_CNT","#555555","Mother_CNT","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_A6_30","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_A6"
"31","B1","KdVS_CR_NT",1.73228571428571,0.0767142857142857,0.116580397198624,2.72971428571429,4.15747202087947,0.0332720833312004,0.00369812214089353,64.83975,70.4038181321392,0.938,0.669649161875082,0.0376190476190476,0.0905295774628623,8.22892857142857,19.7098179848142,0.153333333333333,0.649958574979287,1.40234782608695,0.816352680249619,4.93108072151553,0.846292410857526,11.6342222222222,12.5690740833655,"100-2031","KdVS_CR_NT100-2031","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031","DIV14","KdVS","KANSL1","NT","NT","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_B1_31","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_B1"
"32","B2","KdVS_CR_PH_10um",1.18385714285714,0.0579285714285714,0.0977425694879662,1.79357142857143,2.96665778572157,0.0380912086101665,0.00572970128055642,100.5475,58.3269570981835,0.964,0.305479950242238,0.00880952380952381,0.0185641480986226,2.00342857142857,3.79077844074448,0.0766666666666667,0.207452165156093,1.01765217391304,0.60996293543845,3.02993120657567,0.55476798593701,25.7327272727273,23.4554181905484,"100-2031","KdVS_CR_PH_10um100-2031","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031","DIV14","KdVS","KANSL1","PH_10um","phloretin","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_B2_32","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_B2"
"33","B3","KdVS_CR_F_10um",0.703727272727273,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2031","KdVS_CR_F_10um100-2031","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031","DIV14","KdVS","KANSL1","F_10um","fasudil","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_B3_33","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_B3"
"34","B4","KdVS_CR_F_10um",0.588916666666667,0.0156666666666667,0.0542709253038248,0.45675,1.58222841271417,0.0418948760330582,NA,21.891,NA,0.709,NA,0.0075,0.0259807621135332,2.62408333333333,9.09009131325606,0,0,NA,NA,NA,NA,NA,NA,"100-2031","KdVS_CR_F_10um100-2031","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031","DIV14","KdVS","KANSL1","F_10um","fasudil","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_B4_34","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_B4"
"35","B5","KdVS_CR_P_10um",1.00830769230769,0.0705384615384615,0.094541538828721,2.30230769230769,3.08191743304433,0.0372976479719059,0.00521504104556071,29.0333333333333,15.8208168668161,0.892,0.202605528058837,0.0174358974358974,0.0379364440765577,4.26538461538462,7.68167582126953,0.09,0.538579067990833,1.61296296296296,0.823946109210542,3.62230795961666,0.615657657118517,18.655,20.3443931401259,"100-2031","KdVS_CR_P_10um100-2031","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031","DIV14","KdVS","KANSL1","P_10um","prednisone","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_B5_35","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2031_B5"
