Channel_Label,Well_Label,Timestamp,Maximum_Amplitude,Minimum_Amplitude,Peak_to_peak_Amplitude
21,35,196.8468,5.98837209302326e-06,-1.33139534883721e-05,1.93023255813953e-05
21,35,197.29496,5.69767441860465e-06,-1.43604651162791e-05,2.00581395348837e-05
21,35,197.51136,8.31395348837209e-06,-6.22093023255814e-06,1.45348837209302e-05
21,35,197.9984,6.68604651162791e-06,-1.33139534883721e-05,2e-05
21,35,199.49008,5.05813953488372e-06,-1.31395348837209e-05,1.81976744186047e-05
21,35,200.50736,5.63953488372093e-06,-1.41860465116279e-05,1.98255813953488e-05
21,35,201.5164,4.7093023255814e-06,-1.1453488372093e-05,1.61627906976744e-05
21,35,203.7816,4.76744186046512e-06,-1.41860465116279e-05,1.8953488372093e-05
21,35,205.59488,6.68604651162791e-06,-1.45348837209302e-05,2.12209302325581e-05
21,35,206.8548,5.40697674418605e-06,-1.42441860465116e-05,1.96511627906977e-05
21,35,208.00344,7.32558139534884e-06,-1.3953488372093e-05,2.12790697674419e-05
21,35,208.73376,6.22093023255814e-06,-1.2906976744186e-05,1.91279069767442e-05
21,35,209.29888,7.67441860465116e-06,-1.27325581395349e-05,2.0406976744186e-05
21,35,209.894,7.55813953488372e-06,-1.26162790697674e-05,2.01744186046512e-05
21,35,210.55872,5.98837209302326e-06,-1.36627906976744e-05,1.96511627906977e-05
21,35,211.2324,3.54651162790698e-06,-1.28488372093023e-05,1.63953488372093e-05
21,35,213.10592,5.34883720930233e-06,-1.29651162790698e-05,1.83139534883721e-05
21,35,214.00472,6.51162790697674e-06,-1.28488372093023e-05,1.93604651162791e-05
21,35,214.62704,7.2093023255814e-06,-1.38953488372093e-05,2.11046511627907e-05
21,35,215.20536,5.75581395348837e-06,-1.38953488372093e-05,1.96511627906977e-05
21,35,216.0496,6.91860465116279e-06,-9.47674418604651e-06,1.63953488372093e-05
21,35,216.3408,4.82558139534884e-06,-1.08720930232558e-05,1.56976744186047e-05
21,35,218.5376,3.54651162790698e-06,-1.37209302325581e-05,1.72674418604651e-05
21,35,220.0152,6.97674418604651e-06,-1.11046511627907e-05,1.80813953488372e-05
21,35,221.07912,3.13953488372093e-06,-1.19186046511628e-05,1.50581395348837e-05
21,35,222.3784,4.06976744186047e-06,-1.42441860465116e-05,1.83139534883721e-05
21,35,222.97648,4.36046511627907e-06,-1.03488372093023e-05,1.47093023255814e-05
21,35,223.79296,6.91860465116279e-06,-1.30232558139535e-05,1.99418604651163e-05
21,35,224.40952,7.26744186046512e-06,-1.37209302325581e-05,2.09883720930233e-05
21,35,225.97072,5.11627906976744e-06,-1.09302325581395e-05,1.6046511627907e-05
21,35,226.94448,6.97674418604651e-06,-1.25e-05,1.94767441860465e-05
21,35,227.38272,6.51162790697674e-06,-1.18023255813954e-05,1.83139534883721e-05
21,35,227.9096,6.68604651162791e-06,-1.3953488372093e-05,2.06395348837209e-05
21,35,228.06968,5.58139534883721e-06,-1.13953488372093e-05,1.69767441860465e-05
21,35,228.30688,4.36046511627907e-06,-8.8953488372093e-06,1.32558139534884e-05
21,35,228.5008,5.17441860465116e-06,-9.36046511627907e-06,1.45348837209302e-05
21,35,229.35096,4.36046511627907e-06,-1.25581395348837e-05,1.69186046511628e-05
21,35,230.34952,4.65116279069768e-06,-1.15116279069767e-05,1.61627906976744e-05
21,35,232.25512,4.94186046511628e-06,-1.13953488372093e-05,1.63372093023256e-05
21,35,233.1608,6.1046511627907e-06,-1.32558139534884e-05,1.93604651162791e-05
21,35,234.20344,5.46511627906977e-06,-1.16860465116279e-05,1.71511627906977e-05
21,35,235.24296,5.81395348837209e-06,-1.44767441860465e-05,2.02906976744186e-05
21,35,236.51976,8.25581395348837e-06,-1.40697674418605e-05,2.23255813953488e-05
21,35,237.1212,6.86046511627907e-06,-1.18604651162791e-05,1.87209302325581e-05
21,35,237.70728,7.15116279069767e-06,-1.18023255813954e-05,1.8953488372093e-05
21,35,238.87528,6.62790697674419e-06,-1.46511627906977e-05,2.12790697674419e-05
21,35,239.7492,5.69767441860465e-06,-1.1046511627907e-05,1.67441860465116e-05
21,35,240.24112,6.04651162790698e-06,-1.25581395348837e-05,1.86046511627907e-05
21,35,241.40832,6.68604651162791e-06,-1.15116279069767e-05,1.81976744186047e-05
21,35,242.53128,6.51162790697674e-06,-1.34883720930233e-05,2e-05
21,35,243.58736,5.63953488372093e-06,-1.18023255813954e-05,1.74418604651163e-05
21,35,244.65696,6.04651162790698e-06,-1.09883720930233e-05,1.70348837209302e-05
21,35,245.2516,5.87209302325581e-06,-1.2093023255814e-05,1.79651162790698e-05
21,35,245.99936,6.51162790697674e-06,-1.5406976744186e-05,2.19186046511628e-05
21,35,247.63896,4.65116279069768e-06,-1.06395348837209e-05,1.52906976744186e-05
21,35,248.86048,4.59302325581395e-06,-1.1453488372093e-05,1.6046511627907e-05
21,35,249.7944,5.34883720930233e-06,-1.03488372093023e-05,1.56976744186047e-05
21,35,250.75168,6.68604651162791e-06,-1.08720930232558e-05,1.75581395348837e-05
21,35,251.5152,5.40697674418605e-06,-1.18604651162791e-05,1.72674418604651e-05
21,35,252.65592,5.46511627906977e-06,-1.22674418604651e-05,1.77325581395349e-05
21,35,253.69832,4.88372093023256e-06,-1.21511627906977e-05,1.70348837209302e-05
21,35,254.26712,6.1046511627907e-06,-1.25e-05,1.86046511627907e-05
21,35,254.72272,7.2093023255814e-06,-1.24418604651163e-05,1.96511627906977e-05
21,35,256.2828,5.81395348837209e-06,-1.22674418604651e-05,1.80813953488372e-05
21,35,257.80712,5.87209302325581e-06,-1.62790697674419e-05,2.21511627906977e-05
21,35,258.27776,4.76744186046512e-06,-1.08720930232558e-05,1.56395348837209e-05
21,35,259.5648,4.82558139534884e-06,-1.2093023255814e-05,1.69186046511628e-05
21,35,260.7964,5.34883720930233e-06,-1.18604651162791e-05,1.72093023255814e-05
21,35,261.75864,4.18604651162791e-06,-1.27325581395349e-05,1.69186046511628e-05
21,35,262.33512,8.02325581395349e-06,-1.36046511627907e-05,2.16279069767442e-05
21,35,262.90808,5.23255813953488e-06,-9.59302325581395e-06,1.48255813953488e-05
21,35,264.66056,7.2093023255814e-06,-1.15116279069767e-05,1.87209302325581e-05
21,35,265.22464,4.36046511627907e-06,-1.22674418604651e-05,1.66279069767442e-05
21,35,265.92224,5.81395348837209e-06,-1e-05,1.58139534883721e-05
21,35,266.7156,6.51162790697674e-06,-1.31395348837209e-05,1.96511627906977e-05
21,35,267.44288,6.1046511627907e-06,-1.3546511627907e-05,1.96511627906977e-05
21,35,267.99928,6.56976744186047e-06,-1.48255813953488e-05,2.13953488372093e-05
21,35,268.90168,4.76744186046512e-06,-1.3953488372093e-05,1.87209302325581e-05
21,35,269.35248,5.69767441860465e-06,-1.33139534883721e-05,1.90116279069767e-05
21,35,271.13528,4.82558139534884e-06,-1.22093023255814e-05,1.70348837209302e-05
21,35,272.08704,5.17441860465116e-06,-1.15116279069767e-05,1.66860465116279e-05
21,35,273.86528,5.93023255813954e-06,-1.0406976744186e-05,1.63372093023256e-05
21,35,275.5372,4.24418604651163e-06,-1.19186046511628e-05,1.61627906976744e-05
21,35,277.9608,3.48837209302326e-06,-1.41860465116279e-05,1.76744186046512e-05
21,35,279.13328,6.62790697674419e-06,-1.06395348837209e-05,1.72674418604651e-05
21,35,280.252,4.53488372093023e-06,-1.52906976744186e-05,1.98255813953488e-05
21,35,280.65832,7.2093023255814e-06,-1.3953488372093e-05,2.11627906976744e-05
21,35,281.50136,5.23255813953488e-06,-1.51744186046512e-05,2.0406976744186e-05
21,35,282.66232,4.59302325581395e-06,-9.47674418604651e-06,1.40697674418605e-05
21,35,283.38056,6.62790697674419e-06,-1.24418604651163e-05,1.90697674418605e-05
21,35,283.79704,3.6046511627907e-06,-1.26162790697674e-05,1.62209302325581e-05
21,35,284.50736,8.37209302325581e-06,-1.33720930232558e-05,2.17441860465116e-05
21,35,285.43928,5.63953488372093e-06,-1.37209302325581e-05,1.93604651162791e-05
21,35,286.92328,5.40697674418605e-06,-1.11627906976744e-05,1.65697674418605e-05
21,35,288.49672,5.11627906976744e-06,-1.34883720930233e-05,1.86046511627907e-05
21,35,289.30048,3.31395348837209e-06,-1.25e-05,1.58139534883721e-05
21,35,289.74584,5.29069767441861e-06,-1.18023255813954e-05,1.7093023255814e-05
21,35,290.71728,3.8953488372093e-06,-1.32558139534884e-05,1.71511627906977e-05
21,35,291.58144,5.98837209302326e-06,-1.34883720930233e-05,1.94767441860465e-05
21,35,294.16128,6.22093023255814e-06,-1.36627906976744e-05,1.98837209302326e-05
21,35,295.63952,7.32558139534884e-06,-1.30232558139535e-05,2.03488372093023e-05
21,35,296.36752,5.34883720930233e-06,-1.36627906976744e-05,1.90116279069767e-05
21,35,296.97264,6.04651162790698e-06,-1.23837209302326e-05,1.84302325581395e-05
21,35,297.73832,6.16279069767442e-06,-1.48255813953488e-05,2.09883720930233e-05
21,35,298.11216,6.80232558139535e-06,-1.19186046511628e-05,1.87209302325581e-05
21,35,298.60512,5.63953488372093e-06,-1.36627906976744e-05,1.93023255813953e-05
21,35,299.3644,5.40697674418605e-06,-1.44186046511628e-05,1.98255813953488e-05
22,35,14.43328,8.19767441860465e-06,-5e-06,1.31976744186047e-05
22,35,166.54696,4.24418604651163e-06,-9.76744186046512e-06,1.40116279069767e-05
22,35,235.17664,8.25581395348837e-06,-4.65116279069768e-06,1.2906976744186e-05
22,35,294.824,4.59302325581395e-06,-8.43023255813954e-06,1.30232558139535e-05
22,35,294.91416,5.69767441860465e-06,-1.15116279069767e-05,1.72093023255814e-05
23,35,117.37824,1.63372093023256e-05,-1.86046511627907e-05,3.49418604651163e-05
23,35,118.67256,1.57558139534884e-05,-1.88953488372093e-05,3.46511627906977e-05
23,35,121.19968,1.87790697674419e-05,-2.13372093023256e-05,4.01162790697674e-05
23,35,124.44112,1.88953488372093e-05,-1.96511627906977e-05,3.8546511627907e-05
23,35,125.7764,1.55813953488372e-05,-1.96511627906977e-05,3.52325581395349e-05
23,35,126.99536,1.56395348837209e-05,-2.26744186046512e-05,3.83139534883721e-05
23,35,128.69136,1.6046511627907e-05,-2.06395348837209e-05,3.66860465116279e-05
23,35,134.86456,1.79651162790698e-05,-2.11046511627907e-05,3.90697674418605e-05
23,35,136.48592,1.65697674418605e-05,-2.12790697674419e-05,3.78488372093023e-05
23,35,190.79152,1.81395348837209e-05,-2.08720930232558e-05,3.90116279069767e-05
31,35,47.78808,1.32558139534884e-05,-1.78488372093023e-05,3.11046511627907e-05
31,35,47.8876,1.08720930232558e-05,-1.6453488372093e-05,2.73255813953488e-05
31,35,49.17256,1.52906976744186e-05,-1.76744186046512e-05,3.29651162790698e-05
31,35,49.28544,1.23837209302326e-05,-1.48837209302326e-05,2.72674418604651e-05
31,35,49.91008,1.46511627906977e-05,-1.86046511627907e-05,3.32558139534884e-05
31,35,50.0412,1.23255813953488e-05,-1.61046511627907e-05,2.84302325581395e-05
31,35,51.04688,1.58720930232558e-05,-1.71511627906977e-05,3.30232558139535e-05
31,35,51.18208,1.19186046511628e-05,-1.54651162790698e-05,2.73837209302326e-05
31,35,51.79048,1.55813953488372e-05,-1.69767441860465e-05,3.25581395348837e-05
31,35,51.98456,1.2906976744186e-05,-1.36046511627907e-05,2.65116279069767e-05
31,35,52.7928,1.72093023255814e-05,-1.59302325581395e-05,3.31395348837209e-05
31,35,52.89784,1.33139534883721e-05,-1.36627906976744e-05,2.69767441860465e-05
31,35,54.53656,1.38372093023256e-05,-1.48255813953488e-05,2.86627906976744e-05
31,35,54.70296,1.12790697674419e-05,-1.40116279069767e-05,2.52906976744186e-05
31,35,98.29976,1.75581395348837e-05,-1.73837209302326e-05,3.49418604651163e-05
31,35,98.3952,1.6453488372093e-05,-1.72093023255814e-05,3.36627906976744e-05
31,35,99.35208,1.62209302325581e-05,-1.86627906976744e-05,3.48837209302326e-05
31,35,99.4844,1.37790697674419e-05,-1.51162790697674e-05,2.88953488372093e-05
31,35,99.98144,1.13953488372093e-05,-1.62790697674419e-05,2.76744186046512e-05
31,35,100.1864,1.05813953488372e-05,-1.51162790697674e-05,2.56976744186047e-05
31,35,101.22936,1.61627906976744e-05,-1.59302325581395e-05,3.2093023255814e-05
31,35,101.35152,1.11627906976744e-05,-1.55232558139535e-05,2.66860465116279e-05
31,35,102.55752,1.47093023255814e-05,-1.65116279069767e-05,3.12209302325581e-05
31,35,102.67048,1.11627906976744e-05,-1.1046511627907e-05,2.22093023255814e-05
31,35,124.02968,4.7093023255814e-06,-9.41860465116279e-06,1.41279069767442e-05
31,35,210.09824,1.69186046511628e-05,-1.41279069767442e-05,3.1046511627907e-05
31,35,228.65536,1.84302325581395e-05,-1.51744186046512e-05,3.36046511627907e-05
31,35,256.96208,2.84883720930233e-06,-9.41860465116279e-06,1.22674418604651e-05
31,35,281.01472,1.4593023255814e-05,-1.58139534883721e-05,3.04069767441861e-05
31,35,281.10504,1.19186046511628e-05,-1.51744186046512e-05,2.7093023255814e-05
31,35,281.92368,1.62209302325581e-05,-1.44186046511628e-05,3.06395348837209e-05
31,35,282.04704,1.38953488372093e-05,-1.71511627906977e-05,3.1046511627907e-05
31,35,282.59376,1.30232558139535e-05,-1.81395348837209e-05,3.11627906976744e-05
31,35,282.7408,1.02906976744186e-05,-1.31976744186047e-05,2.34883720930233e-05
31,35,283.4992,1.42441860465116e-05,-1.63372093023256e-05,3.05813953488372e-05
31,35,283.61288,1.19186046511628e-05,-1.33720930232558e-05,2.52906976744186e-05
31,35,284.17984,1.05232558139535e-05,-1.47093023255814e-05,2.52325581395349e-05
31,35,284.35624,9.47674418604651e-06,-1.37790697674419e-05,2.32558139534884e-05
